algorithm,variant,density,n,m_undirected,source,repeat,seconds
dijkstra,heap,dense,400,48226,5,0,0.02064599998993799
dijkstra,array,dense,400,48226,5,0,0.029347100004088134
dijkstra,array,dense,400,48226,5,1,0.02659190000849776
dijkstra,heap,dense,400,48226,5,1,0.02035289999912493
dijkstra,heap,dense,400,48226,5,2,0.026835399999981746
dijkstra,array,dense,400,48226,5,2,0.030050900008063763
floyd,numpy,sparse,400,1999,,0,0.6318937999894843
floyd,python,sparse,400,1999,,0,23.7319703999965
floyd,python,sparse,400,1999,,1,25.564076600014232
floyd,numpy,sparse,400,1999,,1,0.5851917999971192
floyd,numpy,sparse,400,1999,,2,0.6756457999872509
floyd,python,sparse,400,1999,,2,24.348070000007283
floyd,numpy,dense,400,48044,,0,0.7238638999988325
floyd,python,dense,400,48044,,0,30.92316249999567
floyd,python,dense,400,48044,,1,27.838183899992146
floyd,numpy,dense,400,48044,,1,0.6425043999915943
floyd,numpy,dense,400,48044,,2,0.5966901000065263
floyd,python,dense,400,48044,,2,28.587992200016743
dijkstra,heap,sparse,600,2999,419,0,0.002661799982888624
dijkstra,array,sparse,600,2999,419,0,0.02083900000434369
dijkstra,array,sparse,600,2999,419,1,0.01999739999882877
dijkstra,heap,sparse,600,2999,419,1,0.0024510000075679272
dijkstra,heap,sparse,600,2999,419,2,0.0018270000000484288
dijkstra,array,sparse,600,2999,419,2,0.022411399986594915
dijkstra,heap,sparse,600,2999,289,0,0.002883299981476739
dijkstra,array,sparse,600,2999,289,0,0.018689300020923838
dijkstra,array,sparse,600,2999,289,1,0.023825000011129305
dijkstra,heap,sparse,600,2999,289,1,0.0025603999965824187
dijkstra,heap,sparse,600,2999,289,2,0.00237939998623915
dijkstra,array,sparse,600,2999,289,2,0.01813320000655949
dijkstra,heap,dense,600,108126,428,0,0.0367256999888923
dijkstra,array,dense,600,108126,428,0,0.06005209998693317
dijkstra,array,dense,600,108126,428,1,0.06770639997557737
dijkstra,heap,dense,600,108126,428,1,0.047509900003205985
dijkstra,heap,dense,600,108126,428,2,0.04785699999774806
dijkstra,array,dense,600,108126,428,2,0.07722519998787902
dijkstra,heap,dense,600,108126,452,0,0.055600799998501316
dijkstra,array,dense,600,108126,452,0,0.08157849998679012
dijkstra,array,dense,600,108126,452,1,0.08193940002820455
dijkstra,heap,dense,600,108126,452,1,0.05773640002007596
dijkstra,heap,dense,600,108126,452,2,0.06145700000342913
dijkstra,array,dense,600,108126,452,2,0.0824090999958571
floyd,numpy,sparse,600,2999,,0,2.367099099996267
floyd,python,sparse,600,2999,,0,80.78048989997478
floyd,python,sparse,600,2999,,1,77.68532140000025
floyd,numpy,sparse,600,2999,,1,1.9787312999833375
floyd,numpy,sparse,600,2999,,2,2.1608208999969065
floyd,python,sparse,600,2999,,2,95.87796419998631
floyd,numpy,dense,600,108239,,0,1.5678023000073154
floyd,python,dense,600,108239,,0,107.1432507999998
floyd,python,dense,600,108239,,1,108.38987320000888
floyd,numpy,dense,600,108239,,1,2.1650734999857377
floyd,numpy,dense,600,108239,,2,2.0625427999766544
floyd,python,dense,600,108239,,2,100.41829599998891
dijkstra,heap,sparse,800,3999,416,0,0.004241000016918406
dijkstra,array,sparse,800,3999,416,0,0.04810890002408996
dijkstra,array,sparse,800,3999,416,1,0.048948300012853
dijkstra,heap,sparse,800,3999,416,1,0.005704299983335659
dijkstra,heap,sparse,800,3999,416,2,0.004796199995325878
dijkstra,array,sparse,800,3999,416,2,0.04063999999198131
dijkstra,heap,sparse,800,3999,158,0,0.004952099989168346
dijkstra,array,sparse,800,3999,158,0,0.04015890002483502
dijkstra,array,sparse,800,3999,158,1,0.03829609998501837
dijkstra,heap,sparse,800,3999,158,1,0.0025425000058021396
dijkstra,heap,sparse,800,3999,158,2,0.0023326000082306564
dijkstra,array,sparse,800,3999,158,2,0.03507399998488836
dijkstra,heap,dense,800,192090,41,0,0.08629349997499958
dijkstra,array,dense,800,192090,41,0,0.13401959999464452
dijkstra,array,dense,800,192090,41,1,0.14242779999040067
dijkstra,heap,dense,800,192090,41,1,0.10719239999889396
dijkstra,heap,dense,800,192090,41,2,0.1057442000019364
dijkstra,array,dense,800,192090,41,2,0.12138999998569489
dijkstra,heap,dense,800,192090,185,0,0.10471659997710958
dijkstra,array,dense,800,192090,185,0,0.1387807999853976
dijkstra,array,dense,800,192090,185,1,0.12791419998393394
dijkstra,heap,dense,800,192090,185,1,0.10024520001024939
dijkstra,heap,dense,800,192090,185,2,0.0962874999968335
dijkstra,array,dense,800,192090,185,2,0.10778049999498762
floyd,numpy,sparse,800,3999,,0,4.957604299997911
floyd,python,sparse,800,3999,,0,218.19752829999197
floyd,python,sparse,800,3999,,1,203.73971449999954
floyd,numpy,sparse,800,3999,,1,3.5309791999752633
floyd,numpy,sparse,800,3999,,2,3.5179928000143263
floyd,python,sparse,800,3999,,2,100.47689140000148
floyd,numpy,dense,800,192335,,0,5.431116199993994
floyd,python,dense,800,192335,,0,208.49676829998498
floyd,python,dense,800,192335,,1,252.6979400999844
floyd,numpy,dense,800,192335,,1,3.66518690000521
floyd,numpy,dense,800,192335,,2,3.5873024000029545
floyd,python,dense,800,192335,,2,240.10918190001394
